Año;ENE;FEB;MAR;ABR;MAY;JUN;JUL;AGO;SEP;OCT;NOV;DIC
1881;5,4;8,3;11,5;11,9;16,5;20,6;26,5;26,5;19,9;12,6;9,4;4,4
1882;5,6;7,5;10,6;13,5;16,9;22;24;25,8;16,8;12,9;8,9;3,9
1883;5,3;6,9;6,1;11,1;15,2;19,3;24,5;26,3;19,9;12,7;9,2;3,5
1884;6,1;7,4;9,6;9,2;16,4;19,4;24,6;25,6;18,2;12,3;7,9;3,2
1885;2,3;9,6;7,8;9,3;16,9;19,9;23,5;23,4;18,7;12,2;8,8;5,2
1886;3,9;6,5;11,3;11,5;15,5;20,7;24,9;24,2;20,1;12,9;7,4;5,1
1887;4,8;4,5;10,1;11,1;15,9;23,6;26,2;25,4;19,7;10,3;8,1;3,6
1888;4,8;3;6,6;10;17,3;20,7;22,8;23,8;18,8;13,5;8;6,6
1889;4,2;6,4;7,4;10,2;16,5;18,1;24,6;24,4;21,9;12,2;9,4;2,8
1890;5,5;5,2;7,2;11;13,8;23,3;24,6;24;19,9;15;8,5;3
1891;2,5;6,8;8,1;13,1;14,7;20,7;25,9;23,2;20,4;14,1;8,3;5,4
1892;4,9;7;8,7;11,9;16,7;23,1;25,3;24,3;21,6;11,9;9,2;4,6
1893;4,1;7,5;12,3;14,2;17,8;21,8;25,2;26,7;18,6;14,1;7,8;5,1
1894;3,2;7,2;9,2;10,6;14,5;22,3;25,1;25,3;17,8;13,8;9;5,4
1895;3,2;7,1;7,8;11,6;15,3;19,5;24,2;24,4;21,4;14,4;11;6,3
1896;4,9;6,4;10,3;13,3;13,9;19,1;25;20,9;20;10,2;5,9;4,8
1897;3,8;8,5;12,2;13,2;15,8;22,4;25,6;23,8;18,4;13,3;10;6
1898;6,2;6,8;7,1;11,7;14,4;20;26;25,8;20;13,8;8,8;5
1899;4,6;8,4;9,7;15,1;17,4;19,9;25,1;24,3;20,9;16,7;9,7;5,1
1900;4,8;7,5;6,1;13;14,6;21,6;25,5;23,6;20,2;13,9;7,6;5,3
1901;4,8;1,9;7,1;12,7;15,1;22,8;24,2;25,1;18,6;12;6,2;3,3
1902;4,2;6,2;9,8;12,4;13,8;18,4;24,7;23,3;18;11,9;9,1;5,4
1903;4,3;6,8;9,7;12,3;13,6;18,7;23,8;25;18,6;14;9,4;3,4
1904;4,5;6;7,3;13;18,8;21,5;25,5;23,9;18,7;14,4;7,5;6,9
1905;3,8;4,8;10;13,8;14,7;19,4;24,5;23,3;17,1;11,8;6,5;4,7
1906;5,6;4,7;8,1;9,6;15,2;22,1;24,1;26,8;18,8;13,8;7,8;4,9
1907;3,9;4,6;10,3;11,3;14,1;22,5;23,4;25,2;19,8;11,2;8,8;7,1
1908;6,1;6,4;6,8;9,6;18,3;18,6;24,2;24,3;20,3;14,9;10;6,2
1909;3,4;4,1;7,8;14,1;16,3;17;23,7;24,9;17,6;14,5;7,8;6,6
1910;4,1;7,3;7,6;11,3;13,3;20,3;23,2;23,3;18;12,8;7,7;6
1911;2,6;6,4;7,2;10,2;14,5;18,1;25;24,9;21,2;12,1;8,3;6,3
1912;4,4;7,8;10;11,6;17;20,5;21,8;21;17,9;12,3;7,8;3,3
1913;5,9;5,9;9,5;11,2;16;22,7;24,6;23;16,8;12,6;9,3;4,1
1914;2;6,5;9,6;12,9;15,5;18,1;23,1;23,8;20,9;14;7;5,2
1915;4,4;4,9;9;10,4;16,6;20,3;25;25,3;18,8;12,8;8,4;6,7
1916;5,1;5,3;6,3;12,2;16,3;20,5;23,9;25;18,2;14,7;7,9;5,6
1917;3,7;5,2;6,8;10,1;16,5;20,6;25,8;22,6;20,8;11,4;8,5;1,8
1918;5,4;7;7,6;10;16,7;20,9;24,4;26,2;19,4;11,2;8,1;5,6
1919;4,1;7,1;8,4;10,7;17,1;22,6;23;26;19,1;11;6,5;4,1
1920;6,2;7,8;10;13,3;18,5;21,2;23,8;24;19,4;12,2;8,5;5
1921;5,2;6,6;8,7;11,3;15,1;21,6;24,4;23;20,4;15,8;7,7;4,8
1922;5,2;7,3;7,7;11,3;19;18,9;23,7;23,7;16,7;13,9;8,2;4,2
1923;4;6,8;10,3;10,1;16,2;18,5;24,5;25,5;18;15,9;7,4;4,2
1924;5,5;3,2;9,2;12,5;18,3;21,6;24,3;23,1;19;15,2;8,3;5,6
1925;5,1;5,2;6,5;11,3;14,4;19,6;21,1;22,7;18,3;13,8;6,7;5,9
1926;5,9;9,7;10,4;12,1;13,9;19,4;23,3;25;22,5;15,3;8;4,6
1927;5,1;5,6;9;13,9;16,8;20,2;21,8;21,7;18,4;15,3;7,6;6
1928;4,1;8,3;9,1;10,6;13,5;20,8;25,3;23,8;18,6;13,7;8,2;4,6
1929;3,1;6,8;9,9;11,6;14,5;20,6;23,7;23;18,6;13,6;8,4;6,8
1930;6,1;3,9;10,2;9,7;16;18,7;21,4;23,7;20,4;16;9,7;7,2
1931;5,6;6,8;11,1;12,7;16,1;22,3;24,1;22,7;18,9;14,9;8,8;4,4
1932;4,7;4,6;9,6;10,7;15,4;18,5;22,4;25,1;19,5;13,2;9,7;6,2
1933;4,1;5,9;9,6;15;18,3;19,3;26,4;27,9;20,8;14,1;6,8;2,5
1934;3,6;5,7;7,3;10,8;17,8;22,8;25,8;22,5;21,2;15,4;6,5;7,2
1935;3,5;6;10,3;12,7;12,9;20,6;25,9;22,9;21,7;12,7;7,9;6,9
1936;7,7;8,4;8,8;11,6;13,2;18;22,9;25,3;20,5;12,3;9;5,7
1937;5;5,3;8;12,8;16,9;20,9;26,1;25,7;19,6;15,7;9,9;4,4
1938;4,5;5,3;11,8;13;14,5;23,3;24,3;23,5;18,3;15,2;11;5,7
1939;7,2;6,9;10;12,8;14,2;18,8;23,9;24,2;21;12,5;8,5;4,8
1940;3,8;8,2;11,7;12,8;15,7;19,3;23,9;24,1;19,1;11,9;7,8;3,8
1941;3,5;7;9,7;11,1;13,1;20,1;23,2;22,3;20;15;7,5;4,5
1942;4,8;4,5;10;12,2;16,3;20,9;23,8;23,4;18,9;15;8,6;5,6
1943;6,2;6,7;9,2;14,2;17,7;23;22,2;24,4;18,8;14;7,6;5,8
1944;5,2;4,4;9,6;12,7;16,8;20,3;23,2;23,8;19,2;11,1;7,7;4,6
1945;2;7,5;11,1;16,4;17,2;22,1;24,6;22,6;22,7;15;10;6,8
1946;3,3;7,4;9;11,6;12,7;20;24,2;23,6;20,4;15,4;8,7;4,3
1947;3,9;6,1;10,1;14,7;15,9;22,5;25,4;23,1;19,1;15,2;11;4,4
1948;6,3;8,2;12,5;12,1;14,9;21,5;23,6;23,4;20,4;14,8;11;7,3
1949;6,4;8,2;9,4;15,9;15,9;21,9;25,9;26,4;19,9;15,1;9,5;6,3
1950;5,5;7,8;10,6;12,8;15,6;21,7;26;23,5;19,9;15,3;11;4,5
1951;5,2;5,6;9;12,2;12,8;20,4;24,1;21,9;19,7;12,4;8,6;7,1
1952;2,9;6,5;12,1;12,6;16,1;22,1;23,9;21,9;17,2;14,8;9,4;5,7
1953;4,3;5,7;9,4;12,1;18,4;18,9;23,8;25,1;19,5;13,3;10;8,8
1954;3,8;5,9;9;11,5;15,8;19,8;23,6;21,6;20,2;15,5;11;7
1955;8,4;6,6;8,4;14,8;18,6;20,4;24,4;24;19,4;13,9;8,8;7,7
1956;5,9;1,9;9,8;11,2;15,7;19,4;22,2;22,1;18,6;13,9;6,9;4,5
1957;3,3;8,3;12,8;11,7;15,3;19;24,5;24,7;20,9;13,6;8,4;3,9
1958;5,1;9;9,6;11,3;17,7;18,7;23,5;23,3;21,9;14,2;9,3;7,5
1959;7,1;7,3;10,2;13,3;15,3;20,7;25,3;22,8;18,3;14,1;9,2;6,7
1960;5,7;7,1;10,4;13,6;16,9;22,3;23,8;22,6;19,8;11,4;8,9;4,7
1961;4,6;10,2;12,9;13,7;18,3;21,5;24,5;24,4;21;13,7;9;7
1962;6,9;7,5;8,8;12,4;16,8;21;24,2;25,4;21,4;16,1;6,7;4,4
1963;5,7;4,7;10;12,3;16,6;19,7;23,8;22,4;18,4;16,3;9,8;5,3
1964;5,9;8,1;9;12,5;20,5;20,7;24,7;23,8;22,7;13,7;9,5;5,3
1965;5,4;4,9;9,9;12,7;18,7;22,6;23,2;23,7;17;14,5;8,3;6,4
1966;8,1;8,6;9,5;12,3;17,4;20,1;24,1;24,1;21,7;12,8;6,4;5,7
1967;4,9;7;12,2;11,6;14,4;19,1;25,9;23,7;19,1;16,2;9,7;4,5
1968;6,4;7,2;8,9;12,1;15,7;22;24,3;23,2;19,3;17,5;9,2;6,6
1969;6,9;5;9;12,4;15;18,7;25;23,4;16,7;15;8;5,5
1970;7,1;7,2;8;13,1;16,5;20,7;24,6;23;22,2;14;12;3,3
1971;4,7;8;6,4;12;13,5;18,2;23,4;22,3;20,5;16,4;7,7;7,4
1972;4,5;7,1;9,2;12,1;15;19,8;23,5;22,1;16,6;12,5;9,8;6,2
1973;5,7;7;9,2;12,5;16,3;20,2;23,6;25,4;20,1;13,6;9,8;5,3
1974;7,2;6,5;9,3;11;16,7;19,8;24,2;23,5;19,5;11,6;9,6;6,9
1975;7,3;8;7,7;12;13,9;20,1;25,1;23,5;17,8;15,3;9,1;5,7
1976;6,5;7,8;10,4;10,8;18,1;22;23,6;22,5;17,8;11,9;7,4;7,5
1977;5,8;8;11;13,5;14,1;17,7;20,6;21,3;21,2;15,1;8,9;8,5
1978;5,6;8,3;10,6;11,2;14;17,8;24;24,7;22,4;15,1;9,6;7,9
1979;7,5;7,6;9,1;11;16,4;21,7;24;23,9;20,3;13,5;9,5;7,5
1980;5,8;8,2;9,8;11,9;14,2;20,1;23,2;25,5;22,7;14,9;8,4;5,6
1981;6,2;6,8;11,9;11,6;15;22,4;23,7;24,3;20,8;14,7;12;7,8
1982;7,9;8,1;10,5;13,1;17,3;21,8;24,6;24;19,5;13,8;9,5;6,6
1983;6,5;6;12,1;11,3;14,1;22,8;24,9;22,6;19,6;16,6;12;6,8
1984;5,7;6,8;7,2;14,7;11,1;19,5;25,3;22,5;20,1;14,1;9,6;7
1985;3,6;9,3;9,2;13,3;14,8;21,7;26,2;24,9;24,2;17,2;8,7;6,2
1986;5,1;5,9;9,9;8,8;18,7;22,3;26,1;24;21;15,8;9,9;6,3
1987;5,1;7,3;11,5;14;16,7;22;23,9;25,8;23,8;13,3;9,9;8,3
1988;7,8;7,6;11,7;12,5;15,5;18,2;24,2;25,3;21,6;15,5;10;6,6
1989;6,7;8,7;12,6;11;18,4;22,2;24,3;26;19,8;16,6;12;9,5
1990;6,4;8,7;11,5;11,3;17,8;23,4;26,4;25,8;22,1;14,8;9,3;5,2
1991;5,6;6,1;10,4;11,8;16;23,5;26,5;27,2;21,9;12,3;9,4;7,1
1992;4,7;7,5;11,4;14;18,5;17,4;26,3;25,3;20,9;12,7;11;7,4
1993;5,9;7,3;10,6;12;15,6;21;25,3;25,6;18,7;11,2;8,8;6,5
1994;6,1;7,1;13,9;12,2;16,9;22,8;27,8;26,4;18,6;15,4;11;7,2
1995;6,8;8,9;11,5;14,5;18,9;22,1;26,4;25,1;18,3;17,5;12;8,4
1996;7,9;6,4;10,3;14;15,9;22,8;25;23,6;18,3;15;10;7,4
1997;7,1;10,3;14,7;15,9;16,5;19,5;23,2;24,6;22,4;17,1;9,5;6,9
1998;7,1;9,9;13,2;11;15,7;22,4;26,1;26,1;20,2;14,1;9,8;5,9
1999;6;7,6;10,8;13,7;18;22,1;26,3;25,5;20,1;14,6;7,8;5,9
2000;4,8;10,8;12,1;10,7;18,1;23,1;23,9;24,4;21;14,8;8,8;7,6
2001;7,2;8,5;12,3;13,7;16,8;23,4;24,2;25,6;20,4;16,2;8,1;4,2
2002;7,2;9;11,3;13,7;15,6;23,5;24,8;23,7;19,7;14,8;9,9;8,7
2003;6,1;6,8;12,3;13,4;18,7;25,5;25,9;27,2;21,8;14;10;6,8
2004;7,6;8,1;9,4;12,4;15,1;24,5;25,6;24,1;22,3;15,6;9,2;7,4
2005;5,8;5,2;10,9;14,3;19,2;25,1;26,6;25,7;20,6;15,4;8,6;6,2
2006;5,6;6,7;11,3;14,9;19,7;23,5;27,3;24,2;22;16,9;12;6,6
