Dia;Dia_mes;Mes;Dia_sem;Lluvia;T_MAX;T_MIN;Viento_MAX;Viento_MED;SO2;CO;NO;NO2;PM2.5;PM10;O3;TOL;BEN;EBE;TCH;NMCH;SO2_MAX;CO_MAX;NO_MAX;NO2_MAX;PM2.5_MAX;PM10_MAX;O3_MAX;TOL_MAX;BEN_MAX;EBE_MAX;TCH_MAX;NMCH_MAX
1;1;ENE;J;0;10,7;-0,6;14;5;14,1;0,94;137,5416667;95,29166667;28,66666667;36,58333333;10,5;6,02;2,2;1,14;2,076666667;0,616666667;20;1,3;244;127;33;64;20;9,1;3,9;1,9;2,44;1
2;2;ENE;V;0;12,5;-0,4;11;5;15,4;0,96;159,375;102,5833333;21;28,75;7,428571429;7,46;2,24;1,36;2,01;0,58;22;1,5;327;165;23;36;22;11,5;4;2,4;2,31;0,92
3;3;ENE;S;0;11,7;1,4;14;8;13,7;0,84;132,2083333;90,125;19;23,91666667;8,071428571;6,95;1,95;1,116666667;2,053333333;0,566666667;20;1,5;301;143;22;30;24;12,8;3,6;2,1;2,43;0,93
4;4;ENE;D;0;14,4;1,4;12;6;14,2;0,92;120,5833333;90,45833333;18;21,41666667;11,07142857;6,516666667;2,05;1,3;1,92;0,56;22;1,5;270;141;20;33;32;11,9;3,5;2,6;2,24;0,92
5;5;ENE;L;0;12,3;2;19;9;12,4;0,8;119,2083333;84,41666667;18,33333333;23,16666667;9,714285714;6,266666667;1,816666667;1,133333333;1,983333333;0,566666667;18;1,1;248;123;22;31;25;9,9;3,1;2,4;2,31;0,94
6;6;ENE;M;0;10;1,3;10;6;11,1;0,76;95;75,79166667;23;25,16666667;9,214285714;5,183333333;1,75;0,8;2,03;0,59;15;1;235;108;24;31;22;8,5;3,3;1,5;2,38;1,03
7;7;ENE;X;0;11;1,1;15;8;12,8;0,84;124,3333333;91,79166667;19,5;25,16666667;10,57142857;6,583333333;1,916666667;1,2;1,836666667;0,516666667;19;1,1;287;136;20;33;29;10,7;3,7;2,5;2,07;0,83
8;8;ENE;J;0;12,6;0,9;19;11;13;0,73;104,9166667;86,875;15,5;22,41666667;10,5;7,85;1,583333333;1,566666667;1,726666667;0,45;21;1,1;251;123;18;37;33;18,7;2,9;4,4;1,93;0,69
9;9;ENE;V;0;13,8;2,1;15;6;15,4;0,99;159,1666667;102,875;16;26,75;8,571428571;11,53333333;2,266666667;2,066666667;1,8;0,496666667;25;1,3;310;162;18;36;21;26,3;4;4,3;2,02;0,72
10;10;ENE;S;0;13;1,8;12;5;12,2;0,76;110,9166667;84;13,5;19,83333333;10;8,166666667;1,833333333;1,633333333;1,89;0,586666667;19;1,2;259;128;14;25;21;18,9;3,4;3,8;2,33;1,07
11;11;ENE;D;0;14,1;2,5;21;11;11,6;0,65;63,66666667;67,33333333;13,5;16,16666667;12,85714286;5,416666667;1,416666667;1,15;1,766666667;0,52;18;1,1;214;110;15;21;32;14,7;2,8;3,2;2,02;0,93
12;12;ENE;L;0;12,3;4,2;24;14;11,4;0,63;76,5;66,83333333;10;17,25;20,64285714;6;1,4;1,183333333;1,636666667;0,446666667;20;1;193;103;10;24;40;14,6;2,5;2,6;1,81;0,78
13;13;ENE;M;0;12,8;2,9;24;12;9,5;0,56;63,45833333;67,20833333;15;21,33333333;12,5;6,166666667;1,35;1,316666667;1,72;0,51;15;0,8;150;92;15;29;24;17,2;2,7;3,6;1,99;0,94
14;14;ENE;X;0;8,3;2,7;14;6;8,9;0,58;70,79166667;68,75;21,5;28,5;8,928571429;6,95;1,583333333;1,45;1,883333333;0,573333333;14;0,7;122;86;22;37;16;19,8;3,2;4,4;2,16;1,07
15;15;ENE;J;1,4;11;4,9;37;18;6,3;0,37;22,66666667;52,375;13;14,58333333;19,5;5,3;1;1,183333333;1,646666667;0,48;9;0,5;50;73;15;21;30;17,5;2,6;3,7;1,91;0,93
16;16;ENE;V;4,4;8,4;3;35;17;5,6;0,32;12,375;37,08333333;7,5;8;49,64285714;3,916666667;0,75;0,75;1,486666667;0,436666667;9;0,5;44;62;11;14;71;15,9;2;3;1,66;0,84
17;17;ENE;S;0;8,6;-0,8;27;12;6,4;0,36;19,625;46,625;7,5;11;35,92857143;3,95;0,833333333;0,666666667;1,65;0,546666667;9;0,5;43;63;10;23;50;14,9;1,9;2,6;2,05;1,14
18;18;ENE;D;4,5;3,5;0,6;14;6;5,2;0,36;11,125;39,83333333;10;10,66666667;23,64285714;3,35;0,883333333;0,533333333;1,763333333;0,536666667;9;0,5;36;59;11;15;38;13,5;2,2;2,1;2,1;1,07
19;19;ENE;L;1,4;7,4;1;55;26;6,3;0,35;17,41666667;42,29166667;5;9,083333333;39,78571429;3,416666667;0,866666667;0,533333333;1,533333333;0,496666667;12;0,6;59;71;6;14;61;12,7;2,1;1,7;1,7;0,98
20;20;ENE;M;0;6,6;0;22;9;7,3;0,48;56;68,875;9,666666667;17,91666667;16,21428571;4,6;1,183333333;0,883333333;1,923333333;0,663333333;11;0,7;96;89;15;26;24;12,4;2,9;1,7;2,3;1,35
21;21;ENE;X;0,2;5,7;1;40;18;5,9;0,4;28,375;52,41666667;7,8;10,83333333;28,64285714;4,183333333;1,033333333;0,633333333;1,656666667;0,563333333;9;0,6;76;72;11;18;44;11,6;2,3;1,3;2,09;1,18
22;22;ENE;J;0,1;8,4;2,4;43;16;6,3;0,4;29;44,95833333;6,166666667;10,75;46,07142857;4,033333333;0,933333333;0,733333333;1,63;0,556666667;10;0,7;89;73;8;18;64;12,2;2,3;1,5;2,03;1,17
23;23;ENE;V;0;10;-0,1;31;17;9,4;0,64;68,33333333;65,25;10,83333333;15,58333333;27,64285714;5,233333333;1,216666667;0,866666667;1,683333333;0,54;16;0,9;153;104;15;24;66;13,9;2,8;2,1;1,84;0,98
24;24;ENE;S;0;10,9;-1,1;50;23;8,8;0,52;40,41666667;61,20833333;10,83333333;15,25;26,64285714;3,92;1;0,5;1,633333333;0,523333333;14;0,8;101;93;15;23;60;11,1;2,3;1,3;1,81;0,99
25;25;ENE;D;0;13;2,2;39;16;8,4;0,42;17,29166667;44,625;6,166666667;9,416666667;44,57142857;2,88;0,66;0,36;1,55;0,48;19;0,7;62;83;9;13;87;9,5;1,5;1;1,68;0,92
26;26;ENE;L;0;13,2;0,9;18;9;11,5;0,68;79,20833333;86;14,4;23;14,78571429;5,62;1,26;0,94;1,953333333;0,586666667;17;1,1;211;138;15;37;37;11,3;2,6;1,3;2,23;1,03
27;27;ENE;M;0;13,6;2,4;38;17;9,9;0,54;53,625;62,16666667;9,6;15,81818182;24,71428571;4,583333333;0,933333333;0,666666667;1,626666667;0,5;15;0,9;164;107;13;27;54;11,5;2;1,3;1,79;0,91
28;28;ENE;X;0;12,8;1,5;23;8;10,3;0,65;86,79166667;80,54166667;16,4;23,27272727;13,42857143;6,033333333;1,333333333;1,1;1,8;0,576666667;14;0,9;175;101;19;31;22;14,7;3,2;2,2;2,11;1,09
29;29;ENE;J;0,1;12,5;4,1;45;19;7,2;0,43;36,60869565;49,08695652;10,4;17,45454545;30,07142857;4,4;0,916666667;0,783333333;1,65;0,52;12;0,8;67;72;12;23;49;12,6;2,2;1,6;2,01;1,05
30;30;ENE;V;2;15,5;9,7;51;22;5,2;0,26;7,833333333;22,29166667;4,4;7,909090909;45;2,316666667;0,4;0,416666667;1,443333333;0,393333333;8;0,6;28;43;6;13;73;8,4;1,1;1,2;1,63;0,78
31;31;ENE;S;1,4;11,2;3,4;68;25;4,9;0,28;5,25;17,66666667;2,8;5,909090909;67,92857143;1,716666667;0,416666667;0,216666667;1,45;0,47;8;0,5;17;38;4;10;89;7;1,2;0,6;1,62;0,97
32;1;FEB;D;0;8;1,9;50;20;4,6;0,28;4;15,04166667;3,4;5,727272727;72,5;1,483333333;0,433333333;0,183333333;1,48;0,51;7;0,5;10;33;4;8;92;6,2;1,2;0,5;1,66;1,08
33;2;FEB;L;1,8;5,1;3,3;36;18;4,6;0,33;11,70833333;32,29166667;6;8,454545455;45,64285714;2,25;0,616666667;0,366666667;1,506666667;0,51;8;0,6;36;56;8;13;62;7,2;1,6;1;1,72;1,07
34;3;FEB;M;4,1;9,5;2,6;46;22;4,8;0,32;11,20833333;30,20833333;4;6,545454545;55,92857143;2,3;0,55;0,333333333;1,473333333;0,493333333;8;0,6;35;57;6;10;75;8,4;1,6;0,8;1,66;1,03
35;4;FEB;X;0;5,6;0,8;45;21;5,4;0,33;10,20833333;28,125;4,4;7,454545455;63,71428571;2,516666667;0,616666667;0,416666667;1,5;0,523333333;12;0,6;34;54;6;11;92;8,6;1,9;0,9;1,67;1,08
36;5;FEB;J;0;5,8;0,9;62;28;5,5;0,33;9,291666667;26,375;5,2;8,909090909;63,5;2,4;0,633333333;0,3;1,51;0,443333333;13;0,6;27;47;6;12;92;8,6;1,9;0,9;1,66;0,83
37;6;FEB;V;0;5,8;-0,2;36;15;6,3;0,38;14,45833333;36,54166667;5;8,545454545;50,57142857;2,683333333;0,783333333;0,35;1,536666667;0,496666667;12;0,7;41;58;6;11;76;9,1;2,1;0,9;1,7;0,97
38;7;FEB;S;0;3,5;-0,8;28;12;8,5;0,47;24,625;45,66666667;9,6;11,90909091;22,78571429;2,9;1,05;0,35;1,656666667;0,543333333;25;0,7;73;79;12;17;42;9;2,5;0,8;1,88;1,07
39;8;FEB;D;0;8,8;-1,5;30;13;8,2;0,48;18,5;38,58333333;11;12,18181818;41;2,366666667;1,05;0,3;1,603333333;0,506666667;23;0,8;37;63;12;16;61;7,9;2,4;0,7;1,82;1
40;9;FEB;L;0;10,4;0,9;41;17;8,2;0,39;12,16666667;36,79166667;9,8;13,90909091;45,5;2,383333333;0,766666667;0,316666667;1,56;0,396666667;28;0,6;45;61;11;16;67;7,5;2;0,7;1,7;0,73
41;10;FEB;M;0;9;3,4;23;7;8,3;0,43;14;49,91666667;11;16,09090909;38;2,766666667;0,816666667;0,35;1,57;0,363333333;26;0,7;47;71;14;22;50;8,3;2,1;0,8;1,73;0,71
42;11;FEB;X;0;8,8;4,9;20;11;8,1;0,42;16;53,95833333;12,16666667;17,90909091;28,64285714;3,94;1;0,54;1,625;0,505;24;0,7;51;76;14;25;47;9;2;1;1,75;0,87
43;12;FEB;J;0;11,7;4,5;20;12;8,3;0,45;30,33333333;55,41666667;15;25,58333333;26,28571429;3,916666667;0,933333333;0,716666667;1,65;0,435;20;0,7;83;75;17;34;48;9,8;2,3;1,6;1,74;0,72
44;13;FEB;V;0;12,4;3;36;17;6,3;0,42;35,875;46,58333333;18,33333333;25,16666667;36,64285714;3,866666667;0,933333333;0,583333333;1,7;0,37;10;0,7;70;67;21;35;51;8,9;2,4;0,9;2,07;0,95
